RealType	NoiseType	Noise	Signal	Order	Freq	Test	UncertaintyMean	UncertaintyDev	UncertaintyMin	UncertaintyMax	ErrorMean	ErrorDev	ErrorMin	ErrorMax	-3.0	-2.8	-2.6	-2.4	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
Intv	Uniform	1.0e-05	Slope	4	0	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	-4.215e-03	4.310e-02	-7.029e-02	7.979e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Slope	4	0	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	5.264e-02	1.851e-01	-2.863e-01	4.934e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.313	0.344	0.250	0.0938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Sin	4	7	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	2.710e-02	1.529e-01	-2.805e-01	3.490e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.281	0.375	0.313	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Sin	4	7	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	6.840e-03	3.039e-02	-5.197e-02	5.614e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Sin	4	7	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	-3.147e-02	1.865e-01	-4.158e-01	3.767e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0938	0.219	0.438	0.188	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Cos	4	7	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	-4.142e-02	1.839e-01	-4.450e-01	3.799e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0625	0.344	0.344	0.219	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Cos	4	7	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	-4.804e-03	3.779e-02	-6.581e-02	7.724e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Gaussian	1.0e-05	Cos	4	7	Roundtrip	1.248e-05	1.618e-06	1.000e-05	1.392e-05	-1.940e-03	1.703e-01	-5.238e-01	3.273e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.00	0.250	0.469	0.219	0.0313	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Sin	4	7	Forward	1.997e-04	2.589e-05	1.600e-04	2.227e-04	4.415e-02	1.575e-01	-3.948e-01	3.282e-01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0313	0.156	0.438	0.313	0.0625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Intv	Uniform	1.0e-05	Sin	4	7	Backward	2.533e-04	3.468e-05	1.997e-04	2.839e-04	6.501e-04	3.394e-02	-5.889e-02	6.338e-02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
